dt,open,high,low,close,volume,value
2022-08-19 02:46:00,23366.9,23369.9,23353.1,23359.8,169.153,3951824.2760249996
2022-08-19 02:47:00,23359.8,23359.9,23350.0,23353.7,124.335,2903949.60975
2022-08-19 02:48:00,23353.7,23358.2,23350.3,23352.2,139.611,3260419.4495999995
2022-08-19 02:49:00,23352.3,23352.3,23334.1,23334.3,263.442,6149592.4665
2022-08-19 02:50:00,23334.4,23335.5,23320.8,23326.1,394.71,9208268.531999998
2022-08-19 02:51:00,23326.2,23334.9,23323.2,23323.2,208.228,4857308.5275
2022-08-19 02:52:00,23323.2,23323.3,23303.5,23307.7,421.128,9818357.1714
2022-08-19 02:53:00,23307.8,23308.0,23283.5,23287.5,733.338,17084355.3846
2022-08-19 02:54:00,23287.5,23296.1,23278.8,23291.8,454.964,10595451.8622
2022-08-19 02:55:00,23291.7,23291.8,23270.2,23281.6,723.128,16837185.8046
2022-08-19 02:56:00,23281.6,23282.5,23256.4,23258.7,967.577,22515323.2746
2022-08-19 02:57:00,23258.8,23282.2,23258.8,23270.0,467.725,10882768.051250001
2022-08-19 02:58:00,23269.9,23278.0,23253.0,23254.0,562.181,13078424.184225
2022-08-19 02:59:00,23254.0,23269.7,23254.0,23263.9,385.033,8956021.5932
2022-08-19 03:00:00,23263.9,23264.3,23220.7,23264.3,1381.299,32119760.0367
2022-08-19 03:01:00,23264.3,23268.2,23247.8,23248.3,511.149,11887868.96535
2022-08-19 03:02:00,23248.3,23289.0,23246.9,23281.4,760.801,17701100.386400003
2022-08-19 03:03:00,23281.4,23304.6,23276.2,23296.3,602.648,14035445.927000001
2022-08-19 03:04:00,23296.3,23314.1,23290.2,23290.3,390.976,9108851.329599999
2022-08-19 03:05:00,23290.2,23292.6,23276.6,23286.1,332.06,7732473.6825
2022-08-19 03:06:00,23286.2,23300.0,23286.1,23298.7,214.392,4993779.257999999
2022-08-19 03:07:00,23298.7,23299.0,23288.4,23290.1,141.468,3295362.6654000003
2022-08-19 03:08:00,23290.1,23290.1,23268.8,23274.5,210.488,4900344.817
2022-08-19 03:09:00,23274.6,23289.7,23265.6,23288.8,203.359,4734131.428325
2022-08-19 03:10:00,23288.7,23300.0,23285.0,23299.9,199.1,4637715.94
2022-08-19 03:11:00,23299.9,23312.7,23297.2,23302.1,180.368,4203110.9947999995
2022-08-19 03:12:00,23302.2,23303.7,23300.0,23300.0,136.8,3187641.7800000003
2022-08-19 03:13:00,23300.1,23305.1,23300.0,23303.0,96.12,2239793.046
2022-08-19 03:14:00,23303.1,23313.4,23296.3,23303.0,198.63,4628863.5885
2022-08-19 03:15:00,23302.9,23303.0,23283.6,23286.6,310.888,7241832.8442
2022-08-19 03:16:00,23286.5,23299.3,23284.8,23299.2,208.511,4856732.04195
2022-08-19 03:17:00,23299.3,23304.3,23298.7,23302.5,129.17,3009816.0039999997
2022-08-19 03:18:00,23302.5,23312.9,23286.6,23289.4,196.985,4589326.98225
2022-08-19 03:19:00,23289.4,23289.5,23285.2,23288.8,123.793,2882919.2374250004
2022-08-19 03:20:00,23288.9,23290.1,23275.9,23276.0,239.394,5573744.668649999
2022-08-19 03:21:00,23276.0,23283.2,23266.4,23268.4,295.074,6867404.739
2022-08-19 03:22:00,23268.5,23274.7,23264.2,23269.3,344.561,8017650.207175
2022-08-19 03:23:00,23269.2,23275.4,23255.5,23270.5,345.057,8028665.506050001
2022-08-19 03:24:00,23270.5,23281.8,23270.4,23281.7,252.332,5873304.865200001
2022-08-19 03:25:00,23281.7,23281.8,23270.1,23270.2,81.556,1898293.3782
2022-08-19 03:26:00,23270.1,23282.8,23270.1,23280.4,133.393,3104835.4590499997
2022-08-19 03:27:00,23280.3,23280.5,23271.2,23271.3,120.189,2797498.1309249997
2022-08-19 03:28:00,23271.4,23288.2,23271.3,23281.9,98.56,2294299.3920000005
2022-08-19 03:29:00,23281.9,23285.0,23274.1,23279.9,94.705,2204753.708625
2022-08-19 03:30:00,23279.8,23282.5,23265.0,23265.0,201.064,4679377.5518
2022-08-19 03:31:00,23265.0,23267.9,23256.6,23262.9,234.54,5456127.473999999
2022-08-19 03:32:00,23262.9,23266.8,23256.4,23263.8,204.805,4764271.192375001
2022-08-19 03:33:00,23263.8,23266.0,23256.4,23256.4,328.01,7629725.8065
2022-08-19 03:34:00,23256.4,23266.2,23256.4,23259.2,225.605,5247470.777749999
2022-08-19 03:35:00,23259.3,23267.2,23250.1,23258.2,278.255,6471849.5685
2022-08-19 03:36:00,23258.2,23268.3,23258.1,23268.3,83.629,1945480.2435250003
2022-08-19 03:37:00,23268.3,23272.4,23263.7,23266.7,111.954,2604920.4823499997
